Conversion run started at 2026-07-08 18:35:23
Working directory: /home/gpca/daltoolboxdp
[2026-07-08 18:35:30] phase=rmd->md status=ok duration=6.694s file=Rmd/autoencoder/01_autoenc_e.Rmd
[2026-07-08 18:35:31] phase=rmd->md status=ok duration=0.684s file=Rmd/autoencoder/02_autoenc_denoise_e.Rmd
[2026-07-08 18:35:32] phase=rmd->md status=ok duration=1.296s file=Rmd/autoencoder/03_autoenc_conv_e.Rmd
[2026-07-08 18:35:33] phase=rmd->md status=ok duration=0.931s file=Rmd/autoencoder/04_autoenc_lstm_e.Rmd
[2026-07-08 18:35:34] phase=rmd->md status=ok duration=0.801s file=Rmd/autoencoder/05_autoenc_stacked_e.Rmd
[2026-07-08 18:35:35] phase=rmd->md status=ok duration=0.763s file=Rmd/autoencoder/06_autoenc_variational_e.Rmd
[2026-07-08 18:35:38] phase=rmd->md status=ok duration=3.764s file=Rmd/autoencoder/07_autoenc_adv_e.Rmd
[2026-07-08 18:35:39] phase=rmd->md status=ok duration=0.749s file=Rmd/autoencoder/11_autoenc_ed.Rmd
[2026-07-08 18:35:40] phase=rmd->md status=ok duration=0.752s file=Rmd/autoencoder/12_autoenc_denoise_ed.Rmd
[2026-07-08 18:35:41] phase=rmd->md status=ok duration=1.482s file=Rmd/autoencoder/13_autoenc_conv_ed.Rmd
[2026-07-08 18:35:42] phase=rmd->md status=ok duration=0.861s file=Rmd/autoencoder/14_autoenc_lstm_ed.Rmd
[2026-07-08 18:35:43] phase=rmd->md status=ok duration=0.931s file=Rmd/autoencoder/15_autoenc_stacked_ed.Rmd
[2026-07-08 18:35:44] phase=rmd->md status=ok duration=0.582s file=Rmd/autoencoder/16_autoenc_variational_ed.Rmd
[2026-07-08 18:35:48] phase=rmd->md status=ok duration=3.786s file=Rmd/autoencoder/17_autoenc_adv_ed.Rmd
[2026-07-08 18:35:48] phase=rmd->md status=ok duration=0.697s file=Rmd/autoencoder/21_autoenc_ed_static_patience.Rmd
[2026-07-08 18:35:49] phase=rmd->md status=ok duration=0.661s file=Rmd/autoencoder/22_autoenc_ed_dynamic_patience.Rmd
[2026-07-08 18:35:49] phase=rmd->md status=ok duration=0.009s file=Rmd/autoencoder/README.Rmd
[2026-07-08 18:35:49] phase=rmd->md status=ok duration=0.271s file=Rmd/classification/01_skcla_knn.Rmd
[2026-07-08 18:35:49] phase=rmd->md status=ok duration=0.114s file=Rmd/classification/02_skcla_nb.Rmd
[2026-07-08 18:35:50] phase=rmd->md status=ok duration=0.259s file=Rmd/classification/03_skcla_svc.Rmd
[2026-07-08 18:35:50] phase=rmd->md status=ok duration=0.292s file=Rmd/classification/04_skcla_rf.Rmd
[2026-07-08 18:35:50] phase=rmd->md status=ok duration=0.399s file=Rmd/classification/05_skcla_gb.Rmd
[2026-07-08 18:35:51] phase=rmd->md status=ok duration=0.347s file=Rmd/classification/06_skcla_mlp.Rmd
[2026-07-08 18:35:54] phase=rmd->md status=ok duration=3.289s file=Rmd/classification/07_torch_cla_mlp.Rmd
[2026-07-08 18:35:55] phase=rmd->md status=ok duration=0.767s file=Rmd/classification/08_torch_cla_mlp_dynamic_patience.Rmd
[2026-07-08 18:35:55] phase=rmd->md status=ok duration=0.010s file=Rmd/classification/README.Rmd
[2026-07-08 18:35:55] phase=rmd->md status=ok duration=0.009s file=Rmd/gpu/00_environment.Rmd
[2026-07-08 18:35:55] phase=rmd->md status=ok duration=0.008s file=Rmd/gpu/README.Rmd
[2026-07-08 18:35:55] phase=rmd->md status=ok duration=0.009s file=Rmd/README.Rmd
[2026-07-08 18:36:04] phase=rmd->md status=ok duration=9.538s file=Rmd/regression/01_torch_reg_mlp.Rmd
[2026-07-08 18:36:07] phase=rmd->md status=ok duration=3.033s file=Rmd/regression/02_torch_reg_mlp_static_patience.Rmd
[2026-07-08 18:36:08] phase=rmd->md status=ok duration=1.236s file=Rmd/regression/03_torch_reg_mlp_dynamic_patience.Rmd
